事件前项,事件后项
LIT101_lower_trend,MV101_opening_trend
LIT101_upper_trend,MV101_closing_trend
LIT301_lower_trend,"MV201_opening_trend,P101_opening_trend,P203_opening_trend,P205_opening_trend"
LIT301_upper_trend,"MV201_closing_trend,P101_closing_trend,P203_closing_trend,P205_closing_trend"
LIT401_lower_trend,"P302_opening_trend,MV302_opening_trend"
LIT401_upper_trend,"P302_closing_trend,MV302_closing_trend"
MV101_closing_trend,FIT101_lower_trend
MV101_opening_trend,FIT101_upper_trend
MV201_opening_trend,FIT201_upper_trend
MV302_opening_trend,DPIT301_upper_trend
P101_closing_trend,FIT201_lower_trend
P101_opening_trend,FIT201_upper_trend
P203_closing_trend,FIT201_lower_trend
P205_closing_trend,FIT201_lower_trend
P302_closing_trend,"DPIT301_lower_trend,FIT301_lower_trend"
P302_opening_trend,FIT301_upper_trend，MV302_opening_trend
